Columna,Clases,Accuracy,F1-Macro,Precision-Macro,Recall-Macro
DCombo (4 clases),"C, M1, M2, MM",0.6212121212121212,0.6546433132640029,0.6644288150042625,0.6472009173622078
Combo (3 clases),"C, M, MM",0.7045454545454546,0.7329298465989114,0.738562091503268,0.7279942279942281
M (2 clases),"NO, SI",0.7424242424242424,0.7134099616858238,0.813953488372093,0.7954545454545454
MM (2 clases),"NO, SI",0.9621212121212122,0.9176543980037429,0.8823529411764706,0.8333333333333334
