,precision,recall,f1-score,support
C,0.6086956521739131,0.6363636363636364,0.6222222222222222,44.0
M,0.7246376811594203,0.7142857142857143,0.7194244604316546,70.0
MM,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
accuracy,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546
macro avg,0.738562091503268,0.7279942279942281,0.7329298465989114,132.0
weighted avg,0.7074969645302126,0.7045454545454546,0.7058034957315533,132.0
