,precision,recall,f1-score,support
NO,0.6086956521739131,0.6363636363636364,0.6222222222222222,44.0
SI,0.813953488372093,0.7954545454545454,0.8045977011494253,88.0
accuracy,0.7424242424242424,0.7424242424242424,0.7424242424242424,0.7424242424242424
macro avg,0.7113245702730031,0.7159090909090908,0.7134099616858238,132.0
weighted avg,0.7455342096393663,0.7424242424242424,0.7438058748403577,132.0
