fold,accuracy,f1_macro,precision_macro,recall_macro
1,0.6666666666666666,0.6964285714285714,0.7291666666666667,0.6840277777777778
2,0.6666666666666666,0.6666666666666666,0.7074175824175825,0.6785714285714286
3,0.7307692307692307,0.7413419913419913,0.7373015873015873,0.753968253968254
4,0.46153846153846156,0.5420763447079237,0.5404761904761906,0.5486111111111112
5,0.6153846153846154,0.6491071428571429,0.731456043956044,0.6180555555555556
