fold,accuracy,f1_macro,precision_macro,recall_macro
1,0.25925925925925924,0.23202614379084968,0.2270833333333333,0.23958333333333331
2,0.4444444444444444,0.47385290148448045,0.5520202020202021,0.45535714285714285
3,0.38461538461538464,0.3662393162393162,0.38888888888888884,0.3759920634920635
4,0.34615384615384615,0.30122655122655123,0.2847222222222222,0.3680555555555556
5,0.34615384615384615,0.33630952380952384,0.3401785714285714,0.35416666666666663
