feature,importance
cat__origen antepasados (españa)_Alicante,0.0
cat__fototipo_L,0.0
cat__Grupo fot_L,0.0
cat__origen antepasados (españa)_Zaragoza,0.0
cat__origen antepasados (españa)_Zamora y León,0.0
cat__origen antepasados (españa)_zaragoza,0.0
cat__fototipo_Fototipo 5,0.0
"cat__origen antepasados (españa)_Pontevedra, gipuzkoa, alicante",0.0
cat__origen antepasados (españa)_Salamanca,0.0
cat__origen antepasados (españa)_Santander,0.0
"cat__origen antepasados (españa)_Sevilla, Pontevedra, Vigo.",0.0
cat__origen antepasados (españa)_Teruel y Leon,0.0
cat__origen antepasados (españa)_Toledo,0.0
cat__origen antepasados (españa)_Valladolid,0.0
cat__origen antepasados (españa)_Vizcaya,0.0
cat__origen antepasados (españa)_Zamora,0.0
cat__origen antepasados (españa)_Padre: Andalucía Madre: Castilla la Mancha,0.0
"cat__origen antepasados (españa)_Padre Madrileño, Madre Asturiana",0.0
cat__origen antepasados (españa)_Pamplona,0.0
cat__origen antepasados (españa)_Palencia,0.0
cat__origen antepasados (españa)_Navarra/Jaén,0.0
"cat__origen antepasados (españa)_Navarra, Soria, Cantabria",0.0
cat__origen antepasados (españa)_Pamplona y Ávila,0.0
"cat__familiar miope_Padre, Madre",0.0
"cat__familiar miope magno_Madre, Hermanos",0.0
cat__familiar miope magno_Madre,0.0
cat__familiar miope_Padre,0.0
"cat__familiar miope magno_Padre, Hermanos",0.0
"cat__pat. Ret. Miop magna_Sí, en ambos ojos",0.0
"cat__familiar miope magno_No lo se, No",0.0
cat__familiar miope magno_Padre,0.0
cat__disp.elec.antes dormir_Nunca,0.0
