,precision,recall,f1-score,support
NO,0.9739130434782609,0.9824561403508771,0.9781659388646288,114.0
SI,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
accuracy,0.9621212121212122,0.9621212121212122,0.9621212121212122,0.9621212121212122
macro avg,0.9281329923273658,0.9078947368421053,0.9176543980037429,132.0
weighted avg,0.9614275749825621,0.9621212121212122,0.9616627913571145,132.0
